gis_nta_name,approval_rate,n
\N,0.4007731958762887,1552
Battery Park City-Lower Manhattan,0.6069021850112314,4897
Bay Ridge,0.47126436781609193,1305
Bayside-Bayside Hills,0.49965108164689465,1433
Bedford,0.47924796026959915,2819
Borough Park,0.497164461247637,2645
Carroll Gardens-Columbia Street-Red Hook,0.51441647597254,2185
Clinton,0.5325779036827195,2824
East Village,0.5512672811059908,1736
Flatlands,0.52,1050
Hammels-Arverne-Edgemere,0.3691880638445524,1441
Hunters Point-Sunnyside-West Maspeth,0.49519071310116086,3015
Lenox Hill-Roosevelt Island,0.618140589569161,2205
Lincoln Square,0.6193921852387844,2073
Murray Hill,0.46655082536924414,1151
New Springville-Bloomfield-Travis,0.4695970695970696,1365
Ridgewood,0.46261355695317957,1431
Seagate-Coney Island,0.42674532940019666,1017
Stuyvesant Heights,0.43974132863021753,1701
Washington Heights South,0.5440705128205128,1248
Brooklyn Heights-Cobble Hill,0.5101708706265257,1229
Canarsie,0.46402877697841727,1390
East Harlem South,0.6222222222222222,1260
East New York,0.39756258234519104,3036
Greenpoint,0.3949416342412451,2056
Homecrest,0.42678695350451074,1441
Lower East Side,0.5831469052945563,1341
Mott Haven-Port Morris,0.5379413974455297,1331
North Corona,0.4859271523178808,1208
North Side-South Side,0.45690259285213736,2854
Prospect Lefferts Gardens-Wingate,0.543301258327165,1351
Queensbridge-Ravenswood-Long Island City,0.5187207488299532,1282
SoHo-TriBeCa-Civic Center-Little Italy,0.5054085755245666,7673
Steinway,0.49828884325804246,1461
Turtle Bay-East Midtown,0.6535516801361123,4702
Upper East Side-Carnegie Hill,0.5949309798596968,4419
West Village,0.5193841587831571,5391
Yorkville,0.6528813559322034,1475
Bensonhurst West,0.4340962904498816,1267
Bushwick South,0.48359375,2560
Central Harlem South,0.5502776064157927,1621
Clinton Hill,0.4429530201342282,1937
Corona,0.47279920870425324,1011
Crown Heights North,0.49947497374868743,2857
Far Rockaway-Bayswater,0.4104979811574697,1486
Flatbush,0.530416951469583,1463
Forest Hills,0.4796905222437137,1551
Kew Gardens Hills,0.5144278606965174,1005
Midtown-Midtown South,0.6092773702798153,14724
Midwood,0.42304526748971194,1215
Richmond Hill,0.4616588419405321,1917
Sheepshead Bay-Gerritsen Beach-Manhattan Beach,0.43871706758304696,1746
South Jamaica,0.4485228290062668,1117
South Ozone Park,0.48522055479763526,2199
Stapleton-Rosebank,0.5560836501901141,1052
Sunset Park East,0.4492843808338519,1607
Sunset Park West,0.47098214285714285,1792
Astoria,0.4834368530020704,1932
Bushwick North,0.49339819318971506,1439
Central Harlem North-Polo Grounds,0.5499468650371945,1882
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,0.4773972602739726,2920
East Harlem North,0.5680206318504191,1551
Elmhurst,0.49027777777777776,1440
Flushing,0.4878607420980302,2183
Fort Greene,0.5124463519313305,1165
Gramercy,0.6426271732131359,1553
Hudson Yards-Chelsea-Flatiron-Union Square,0.5324331145885917,7924
Jamaica,0.48535980148883373,2015
Murray Hill-Kips Bay,0.6119151800740491,2971
Park Slope-Gowanus,0.46718266253869967,3230
St. Albans,0.4746887966804979,1205
Upper West Side,0.5818607068607069,3848
West New Brighton-New Brighton-St. George,0.5335542667771334,1207
Whitestone,0.45297670405522,1159
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,0.47988980716253443,1815
Chinatown,0.5740153915799004,2209
East Williamsburg,0.46037735849056605,1855
Jackson Heights,0.505938242280285,2105
Morningside Heights,0.6345347862531433,1193
Queens Village,0.5264598540145985,1096
Williamsbridge-Olinville,0.4664586583463339,1282
Woodside,0.4878286270691334,1027
